Cycle;FreqIndex;Omega;Iterations;Error
-1;-1;13.404129;15;9.447899356018752e-5
-1;-1;28.297606;15;9.615543967811391e-5
1;1;13.404129;19;9.322609548689798e-5
-1;-1;28.297606;40;8.697293378645554e-5
