Train;Test
0.03627094253897667;0.03657115250825882
0.034762147814035416;0.03511345013976097
0.025262998417019844;0.02521676756441593
0.042906563729047775;0.04356768727302551
0.017648501321673393;0.017259439453482628
0.017123261466622353;0.016818886622786522
0.021486790850758553;0.02150510437786579
0.01789669878780842;0.01767030917108059
0.017069272696971893;0.016880642622709274
0.018326934427022934;0.018291015177965164
0.023620599880814552;0.0238238126039505
0.016027120873332024;0.015908855944871902
0.01696796528995037;0.016920778900384903
0.01912505365908146;0.019243184477090836
0.012538588605821133;0.012252305634319782
0.011932327412068844;0.011683220975100994
0.012392187491059303;0.012193866074085236
0.011428763158619404;0.011222323402762413
0.011006958782672882;0.010831323452293873
0.011658909730613232;0.01155678741633892
