Train;Test
0.10366522520780563;0.10317982733249664
0.057291146367788315;0.056907158344984055
0.057661306113004684;0.05717023089528084
0.0553000383079052;0.05488581582903862
0.04085763916373253;0.040608443319797516
0.0420302115380764;0.04176094010472298
0.047080911695957184;0.04671293869614601
0.03971555456519127;0.03948444500565529
0.05132559686899185;0.050909556448459625
0.029821263626217842;0.029751956462860107
0.03856690600514412;0.03832382336258888
0.024845434352755547;0.024914700537919998
0.02982615865767002;0.029781393706798553
0.04733844846487045;0.04700638726353645
0.033798277378082275;0.033729564398527145
0.028827205300331116;0.02882760390639305
0.026601796969771385;0.026668528094887733
0.031854864209890366;0.03184168413281441
0.06437540799379349;0.06383751332759857
0.038661353290081024;0.038467198610305786
0.03177264705300331;0.03174363449215889
0.02128606289625168;0.021575434133410454
0.027045737951993942;0.02714284509420395
0.026849767193198204;0.026978954672813416
0.02260136790573597;0.022888019680976868
0.04820053651928902;0.047891657799482346
0.02211262658238411;0.022403839975595474
0.02614087238907814;0.026316503062844276
0.023452501744031906;0.02367962896823883
0.0280874352902174;0.02820143662393093
0.0217498280107975;0.022068431600928307
0.02674560435116291;0.026903996244072914
0.01943248324096203;0.01987411454319954
0.031107695773243904;0.031187405809760094
0.027900608256459236;0.028072888031601906
0.036026496440172195;0.03600876405835152
0.020373541861772537;0.020827610045671463
0.019020861014723778;0.019566213712096214
0.03719332814216614;0.037142470479011536
0.026006409898400307;0.026282114908099174
0.030288605019450188;0.030455419793725014
0.019762393087148666;0.020273879170417786
0.0230859462171793;0.023450078442692757
0.02876247838139534;0.02895607426762581
0.032887279987335205;0.03297092020511627
0.03725462406873703;0.037275295704603195
0.022036112844944;0.022508244961500168
0.020577989518642426;0.021100474521517754
0.03456280753016472;0.03464481234550476
0.02786405198276043;0.02812773548066616
0.022950217127799988;0.02338714897632599
0.033057235181331635;0.03317264840006828
0.023946210741996765;0.02438187599182129
0.035995788872241974;0.03602185100317001
0.04333919286727905;0.04326600953936577
0.025973254814743996;0.02634618990123272
0.04813958704471588;0.047984156757593155
0.024923386052250862;0.02535165660083294
0.03698960691690445;0.03703054413199425
0.014880434609949589;0.015916554257273674
0.01484983041882515;0.015891464427113533
0.01584174484014511;0.01683085970580578
0.02153809368610382;0.02217542938888073
0.028177514672279358;0.02853410504758358
0.017870385199785233;0.01870184764266014
0.025363614782691002;0.02583537995815277
0.017251793295145035;0.01815415546298027
0.016826080158352852;0.017774024978280067
0.019469063729047775;0.020240668207406998
0.016061775386333466;0.01707560196518898
0.017983531579375267;0.01888176240026951
0.019787419587373734;0.020576555281877518
0.015259452164173126;0.016369901597499847
0.020886586979031563;0.02160823903977871
0.021207716315984726;0.021927060559391975
0.018177123740315437;0.019068120047450066
0.015030971728265285;0.01623402163386345
0.018247302621603012;0.01913570612668991
0.019830340519547462;0.020663779228925705
0.024393973872065544;0.02500207908451557
0.023177949711680412;0.023828957229852676
0.016677210107445717;0.017720002681016922
0.015261583030223846;0.016465596854686737
0.021096237003803253;0.02189451828598976
0.02565726824104786;0.02623896859586239
0.02289760485291481;0.023626334965229034
0.020133454352617264;0.021002722904086113
0.01538622472435236;0.016622450202703476
0.02074587717652321;0.021580930799245834
0.013301096856594086;0.014785797335207462
0.01628783345222473;0.017471127212047577
0.014408479444682598;0.01579258032143116
